PAK/Serial Nbr;Hostname;IP Address
FDO1949E2A1;FR-FON-AFA-SA1D;10.210.228.15
FDO2005Q0WZ;FR-TE8-AFA-SASS;10.210.219.130
FXS2036Q1PB;SG-ATW-23F-CSW01;10.52.150.37
FOC2037U1R2;SG-ATW-23F-ASW01;10.52.150.45
FCH1927V10M;T95WLC04;10.240.97.5
FXS1802Q4Y3;FR-MLY-AFA-VC01;10.210.234.1
FOC2037X02D;SG-ATW-28F-DSW01;10.52.150.43
SAL1032XMGX;FR-TE1-AFA-SCU1;10.210.238.130
FCW2334G0VB;MY-PCH-13AF-CSW01;10.35.144.38
FDO1952E1YC;MA-TC1-AFA-SA12;10.110.242.19
FDO2024E1DJ;FR-TON-AFA-SA01;10.210.230.82
FXS2424Q4JZ;ID-ATO-12F-CSW01.AXA.com;10.48.1.254
FXS2424Q28Y;ID-ATO-12F-CSW01.AXA.com;10.48.1.254
FGL2014401H;FR-LYO-AST-ASA1.noc.intraxa;10.146.70.100
FOC2037U0J2;SG-ATW-26F-ASW02;10.52.150.50
SMG1206N4AX;SE302-TM-SAP-08;10.228.62.19
FCW2222G1CN;FR-JAV-GIE-SA4A;10.232.200.144
FOC2345U0K9;HK-ZGF-02F-CSW01;10.40.203.49
FCW1429L0LC;medc1-n-chwlc01;10.152.29.4
FXS1823Q19P;ABS-BEN-MFAR-FF-Acc_SW_4;10.90.50.74
FDO1949E2AH;FR-FON-AFA-SA4B;10.210.228.22
FDO1952E1U8;FR-LYO-AFA-SA91;10.210.225.226
FDO1952Q0YK;MA-TC1-AFA-SA14;10.110.242.26
FOX2121P06D;NUCSB4-A;10.54.239.10
FCH21247X8X;NUCSB4-A;10.54.239.10
FCH21247WMP;NUCSB4-A;10.54.239.10
FOX1831H4MR;MEDC1-SWF-153;10.66.254.177
FDO1949E2AN;FR-FON-AFA-SA1D;10.210.228.15
FDO1949E29Z;FR-LYO-AFA-SA31;10.210.225.234
FDO2005Q0WK;FR-TE8-AFA-SASS;10.210.219.130
FDO2038Q0PV;FR-WAS-AFA-SA51;10.210.228.150
FCW2048C0YH;NEDC1E20-ERNA3;10.70.229.5
JMX2148G3QJ;FR-TRO-AFA-ASA1.noc.intraxa;10.212.95.158
FCW2222G1CP;FR-JAV-GIE-SA3A;10.232.200.141
FCW2222E14J;FR-JAV-GIE-SA2C;10.232.200.140
FCW2222L1B5;FR-JAV-GIE-SA4C;10.232.200.146
FOC2222Z10Q;FR-JAV-GIE-SA5C;10.232.200.149
FCW2222G0SH;FR-JAV-GIE-SA3C;10.232.200.143
FCW2222L18D;FR-JAV-GIE-SA5A;10.232.200.147
FCW2222L1BF;FR-JAV-GIE-SA7B;10.232.200.153
FGL2529L8CE;HK-NDR-GF-VG01;10.40.202.214
FGL2529L8C7;HK-NTT-03F-VG01;10.40.203.17
FOC2038U042;SG-ATW-27F-ASW01;10.52.150.51
JMX2130Y3P5;FR-ISN-AFA-ASA1.noc.intraxa;10.209.103.67
FDO2005Q0UV;FR-TE8-AFA-SA61;10.210.219.132
FCW2221A263;FR-JAV-GIE-SC5B;10.232.200.67
FDO2005Q0W7;FR-TE8-AFA-SA61;10.210.219.132
JMX2029L0B6;SEASA-SS-VPB-PR.noc.intraxa;10.106.192.54
FOC2117X2CH;FR-CSM-MSC-SA01;10.210.224.138
FDO2120Q1PC;FR-FON-AFA-SW3B;10.210.228.10
FOC2338U10P;MEDC2-SWD-1;10.66.255.245
FOC2347R299;MEDC1-SWF-168;10.66.254.185
FDO1949E29V;FR-FON-AFA-SA3B;10.210.228.20
FXS1945Q321;ABS-PUN-ME-NWING-FLR01-SW01;10.90.87.17
FCW2036D22M;SG-ATW-27F-DSW01;10.52.150.42
FGL193622LH;Forex-AXA-RT01;10.2.254.18
